name,type,required_age,is_free,recommendations,price_overview,metacritic_score,developer,publisher,positive,negative,genre,ccu
Forza Horizon 4,game,0.0,False,174663,99.95,0.0,Playground Games,Xbox Game Studios,168343,20609,Racing,8344
暖雪 Warm Snow,game,0.0,False,25794,25.95,0.0,BadMudStudio,bilibili,25074,1948,Action/ Adventure/ Indie/ RPG,703
Cult of the Lamb,game,0.0,False,48896,22.99,0.0,Massive Monster,Devolver Digital,51675,3115,Action/ Adventure/ Indie/ Strategy,1494
Sons Of The Forest,game,0.0,False,124233,43.95,0.0,Endnight Games Ltd,Newnight,114876,23082,Action/ Adventure/ Indie/ Simulation/ Early Access,11986
Stray,game,0.0,False,109049,44.95,0.0,BlueTwelve Studio,Annapurna Interactive,118108,3212,Adventure/ Indie,677
Action Taimanin,game,0.0,True,0,0.0,0.0,LiLith,Infini-Brain inc.,13365,2566,Action/ Adventure/ Free to Play/ RPG,1206
Old School RuneScape,game,0.0,True,0,0.0,0.0,Jagex Ltd,Jagex Ltd,12499,1308,Adventure/ Free to Play/ Massively Multiplayer/ RPG,1298
Ring of Fire: Prologue,game,0.0,True,0,0.0,0.0,de Fault/ Chard,Far Few Giants,13,2,Adventure/ Casual/ Free to Play/ Indie/ Simulation,0
Warhammer 40/000: Darktide,game,0.0,False,60648,41.96,0.0,Fatshark,Fatshark,39169,32082,Action/ Adventure/ Indie,3302
Dyson Sphere Program,game,0.0,False,64801,28.95,0.0,Youthcat Studio,Gamera Games,69852,1584,Indie/ Simulation/ Strategy/ Early Access,4060
Soulworker,game,0.0,True,0,0.0,0.0,Lion Games Co./ Ltd.,Lion Games Co./ Ltd.,7073,2564,Action/ Free to Play/ Massively Multiplayer/ RPG,1227
Saving Grace,game,0.0,False,0,2.95,0.0,Thomas JC Ironmonger,Ironmonger Games,27,2,Action/ Adventure/ Indie/ Strategy,0
Spellbreak,game,0.0,False,0,0.0,0.0,Proletariat/ Inc.,Proletariat/ Inc.,11894,1922,Action/ Adventure/ Free to Play/ RPG,2
Red Dead Online,game,0.0,False,48282,29.95,0.0,Rockstar Games,Rockstar Games,47321,8880,Action/ Adventure,2916
World of Tanks,game,0.0,True,335,0.0,80.0,Wargaming Group Limited,Wargaming Group Limited,57732,9467,Action/ Free to Play/ Massively Multiplayer/ Simulation,3577
Krunker,game,0.0,True,0,0.0,0.0,FRVR,FRVR,18340,4450,Action/ Casual/ Free to Play,318
Swords of Legends Online,game,0.0,False,4287,0.0,0.0,Wangyuan Shengtang Entertainment Technology CO./ 上海烛龙信息科技有限公司,Gameforge 4D GmbH,3912,1923,Free to Play/ Massively Multiplayer/ RPG,3
It Takes Two,game,0.0,False,112179,19.98,89.0,Hazelight,Electronic Arts,124065,5879,Action/ Adventure,8926
MONSTER HUNTER RISE,game,0.0,False,48903,22.79,86.0,CAPCOM Co./ Ltd.,CAPCOM Co./ Ltd.,66147,10441,Action,13571
Cookie Clicker,game,0.0,False,45479,7.5,0.0,Orteil/ DashNet,Playsaurus,46931,1363,Casual/ Indie/ Simulation/ Strategy,13924
Age of Empires IV: Anniversary Edition,game,0.0,False,40115,49.95,81.0,Relic Entertainment/ World's Edge,Xbox Game Studios,46183,7245,Strategy,9280
鬼谷八荒 Tale of Immortal,game,0.0,False,185498,28.95,0.0,鬼谷工作室,鬼谷工作室/ Lightning Games,112532,106031,Action/ Adventure/ Indie/ RPG/ Simulation,6712
Draw & Guess,game,0.0,False,26489,4.5,0.0,Acureus,Acureus,24998,4636,Casual/ Indie,1451
FIFA 22,game,0.0,False,99052,0.0,0.0,EA Canada &amp; EA Romania,Electronic Arts,94507,23162,Simulation/ Sports,8509
PICO PARK,game,0.0,False,16511,7.5,0.0,TECOPARK,TECOPARK,18934,1833,Action/ Casual/ Indie,566
Capcom Arcade Stadium,game,0.0,True,292,0.0,0.0,CAPCOM Co./ Ltd.,CAPCOM Co./ Ltd.,1878,1666,Action/ Free to Play,29
Orcs Must Die! 3,game,0.0,False,8146,39.95,0.0,Robot Entertainment,Robot Entertainment,9531,1688,Action/ Adventure/ Indie/ Strategy,510
OpenTTD,game,0.0,True,0,0.0,0.0,OpenTTD,OpenTTD,9524,396,Casual/ Free to Play/ Indie/ Simulation,721
Aliens: Fireteam Elite,game,15.0,False,15468,39.95,0.0,Cold Iron Studios,Cold Iron Studios/ Focus Entertainment,15474,3918,Action/ RPG,480
Forza Horizon 5,game,0.0,False,120230,89.95,0.0,Playground Games,Xbox Game Studios,113851,15424,Action/ Adventure/ Racing/ Simulation/ Sports,16158
Football Manager 2022,game,0.0,False,13321,0.0,85.0,Sports Interactive,SEGA,19176,1550,Simulation/ Sports,11976
God of War,game,15.0,False,75048,74.95,93.0,Santa Monica Studio,PlayStation PC LLC,103155,3297,Action/ Adventure/ RPG,2730
Lost Ark,game,15.0,True,64418,0.0,0.0,Smilegate RPG,Amazon Games,139071,54997,Action/ Adventure/ Free to Play/ Massively Multiplayer/ RPG,26631
V Rising,game,0.0,False,62490,28.95,0.0,Stunlock Studios,Stunlock Studios,63205,8545,Action/ Adventure/ Massively Multiplayer/ Early Access,6587
Heart of a Warrior,game,0.0,False,0,15.5,0.0,Techworld Communication,Techworld Communication ,0,1,Action/ Adventure/ Indie/ RPG,0
HITMAN 3,game,15.0,False,12769,51.25,87.0,IO Interactive A/S,IO Interactive A/S,12220,2337,Action/ Adventure,1694
Stumble Guys,game,0.0,True,10605,0.0,0.0,Scopely,Scopely,75005,11311,Action/ Casual/ Indie,10553
Poppy Playtime,game,0.0,True,27326,0.0,0.0,Mob Entertainment,Mob Entertainment,41012,11203,Action/ Adventure/ Indie,505
Capcom Arcade 2nd Stadium,game,0.0,True,112,0.0,0.0,CAPCOM Co./ Ltd.,CAPCOM Co./ Ltd.,332,160,Action/ Free to Play,12
Vampire Survivors,game,0.0,False,191828,7.49,87.0,poncle,poncle,198798,2662,Action/ Casual/ Indie/ RPG,6441
Marvel’s Spider-Man Remastered,game,0.0,False,51735,59.99,0.0,Insomniac Games/ Nixxes Software,PlayStation PC LLC,69230,2496,Action/ Adventure/ Casual,4916
MultiVersus,game,0.0,False,4866,0.0,78.0,Player First Games,Warner Bros. Games,80842,13157,Action/ Free to Play,70
Chivalry 2,game,18.0,False,23305,56.95,82.0,Torn Banner Studios,Tripwire Presents,22937,5103,Action,2240
Mirror 2: Project X,game,0.0,False,113208,2.95,0.0,KAGAMI Ⅱ WORKs,NIJICO,30016,87529,Adventure/ Indie/ RPG/ Early Access,36
DAVE THE DIVER,game,0.0,False,42303,29.99,89.0,MINTROCKET,MINTROCKET,42172,1260,Adventure/ Casual/ Indie/ RPG/ Simulation,34929
Deep Night Runner,game,0.0,False,0,0.59,0.0,DODRECK,kazakovstudios,14,2,Indie,1
NBA 2K23,game,0.0,False,32125,89.95,0.0,Visual Concepts,2K,25536,14983,Simulation/ Sports,29003
Brotato,game,0.0,False,42508,7.5,0.0,Blobfish,Blobfish,42583,1412,Action/ Casual/ Indie/ RPG,13787
Escape the Backrooms,game,0.0,False,26628,14.5,0.0,Fancy Games,Fancy Games,28624,3371,Indie/ Early Access,3524
Broken Edge,game,0.0,False,239,10.15,0.0,TREBUCHET,Fast Travel Games,222,44,Action,55
Inside the Backrooms,game,0.0,False,29745,10.0,0.0,MrFatcat,MrFatcat/ Dropsiick,30414,5454,Adventure/ Indie/ Early Access,1412
Resident Evil 4,game,18.0,False,53998,85.49,0.0,CAPCOM Co./ Ltd.,CAPCOM Co./ Ltd.,83027,2093,Action/ Adventure,3121
