name,type,required_age,is_free,recommendations,price_overview,metacritic_score,developer,publisher,positive,negative,genre,ccu
Bless Online,game,0.0,False,7267,0.0,0.0,NEOWIZ BLESS STUDIO,NEOWIZ,3744,6258,Action/ Adventure/ Free to Play/ Massively Multiplayer/ RPG,0
GRIS,game,0.0,False,56107,21.95,84.0,Nomada Studio,Devolver Digital,62364,2203,Adventure/ Indie,86
Hell Let Loose,game,0.0,False,67826,44.81,79.0,Team17,Team17,85240,19146,Action/ Indie/ Massively Multiplayer/ Simulation/ Strategy,6792
DiRT Rally 2.0,game,0.0,False,26228,19.99,84.0,Codemasters,Codemasters/ Electronic Arts,29856,4451,Racing/ Simulation/ Sports,1145
Doki Doki Literature Club!,game,0.0,True,389,0.0,0.0,Team Salvato,Team Salvato,182828,6548,Casual/ Free to Play/ Indie,614
SCP: Secret Laboratory,game,0.0,True,0,0.0,0.0,Northwood Studios,Northwood Studios,152349,13949,Action/ Free to Play,9017
Kingdom Two Crowns,game,0.0,False,16312,7.37,0.0,Stumpy,Raw Fury,6244,819,Adventure/ Indie/ Simulation/ Strategy,1789
Planet Zoo,game,0.0,False,59273,64.95,81.0,Frontier Developments,Frontier Developments,63955,6605,Casual/ Simulation/ Strategy,5181
Thief Simulator,game,0.0,False,22110,4.42,0.0,Noble Muffins,PlayWay S.A.,20666,2916,Action/ Adventure/ Indie/ Simulation,760
BLOCKPOST,game,0.0,True,0,0.0,0.0,Skullcap Studios,Skullcap Studios,11883,4068,Action/ Free to Play/ Indie,67
Overcooked! 2,game,0.0,False,36626,35.95,81.0,Ghost Town Games Ltd./ Team17,Team17,46149,4807,Action/ Casual/ Indie,4724
Post Scriptum,game,0.0,False,14965,42.0,0.0,Periscope Games,Offworld Industries,15079,4751,Action/ Indie/ Massively Multiplayer/ Simulation/ Strategy,270
Operation: Harsh Doorstop,game,0.0,True,0,0.0,0.0,Drakeling Labs,Drakeling Labs,4619,2111,Action/ Casual/ Free to Play/ Indie/ Simulation/ Strategy/ Early Access,375
